yr_dates_data,CPI,FAIPriceIndex,GDPDeflator,NominalRetailGoodsC,NominalFAI,NominalGDP,NominalNetExports,NominalHHC,NominalGovtC,NominalInvty,NomalGFCF,NominalGovtGFCF,NominalPrivGFCF,NominalHHGFCF,NominalSOEGFCF,NominalSOEexGovtGFCF,NominalNonSOEGFCF,LaborIncomeShare,DPI,DPIBeforeTax,SavingRate,HHSavingRate,GovtSavingRate,NFESavingRate,FISavingRate,AvgNominalWage,ratioNewSTLoan,ratioNewMLTLoan,ratioNewNFESTLoan,ratioNewNFEMLTLoan,LaborISValAddIndHeavy,LaborISValAddIndLight
1949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1952,NaN,NaN,0.244209976,26.27,NaN,69.22,-0.78,45.3,9.33,7.3,8.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,445,NaN,NaN,NaN,NaN,NaN,NaN
1953,NaN,NaN,0.256432019,32.88,NaN,83.43,-0.84,52.92,11.52,8.3,11.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,495,NaN,NaN,NaN,NaN,NaN,NaN
1954,NaN,NaN,0.256368187,35.61,NaN,87.83,-0.27,55,10.41,8.6,14.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,517,NaN,NaN,NaN,NaN,NaN,NaN
1955,NaN,NaN,0.254197597,36.4,NaN,93.49,-0.89,60.26,11.97,7.6,14.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,527,NaN,NaN,NaN,NaN,NaN,NaN
1956,NaN,NaN,0.249942049,42.4,NaN,103.42,0.4,64.68,12.58,3.8,21.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,601,NaN,NaN,NaN,NaN,NaN,NaN
1957,NaN,NaN,0.247133732,44.16,NaN,110.19,0.55,68.66,12.98,9.3,18.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,624,NaN,NaN,NaN,NaN,NaN,NaN
1958,NaN,NaN,0.249485504,48.12,NaN,129.12,0.66,72.4,12.86,9.9,33.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,536,NaN,NaN,NaN,NaN,NaN,NaN
1959,NaN,NaN,0.252513125,55.65,NaN,145.13,0.81,69.12,13.03,18.6,43.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,NaN,NaN,NaN,NaN,NaN,NaN
